Energy,Variance,Alpha
-2.857803085368638,0.24164234745488145,0.05
-2.8723812550278813,0.1771640573390041,0.1
-2.8788120209857153,0.13803594428725496,0.15000000000000002
-2.8770326611726698,0.11253567480699367,0.2
-2.876438666540628,0.09840922081640535,0.25
-2.8739851192033714,0.08964615948167598,0.3
-2.8698547925380247,0.08639628285132517,0.35
-2.867380260013045,0.08534809553243683,0.39999999999999997
-2.864736816868686,0.08872764953358647,0.44999999999999996
-2.862478016631211,0.09284617074388635,0.49999999999999994
-2.856482501583005,0.09789815970358617,0.5499999999999999
-2.8535192121542274,0.10510053692919996,0.6
-2.846767830762329,0.11433107162403289,0.65
-2.845007531337858,0.12199363252765139,0.7000000000000001
-2.8446679559034957,0.13013203909031112,0.7500000000000001
