Energy,Variance,Alpha
-0.2221156300091066,0.021808830475838308,0.49018999800008883
-0.25736622052947355,0.004677939939673664,0.5771499382139271
-0.43168400579711597,0.06883851964557286,0.7500935166284293
-0.43896882497408823,0.006407282323157126,0.8392651416678172
-0.5123323945141418,0.012322088766278938,0.904258220981426
-0.5235333691970521,0.005271209182292014,0.94685926615062
-0.49261276897767575,0.0013660016006850628,0.9824323396116358
-0.5040193014309517,-0.0009662405002069385,0.9932953211344614
-0.5004878207950106,-0.0012356255134259309,0.9994819563746095
-0.5023820129026833,-0.0012555439460045226,1.0040495083165462
-0.5033544798854136,-0.001250271563513261,1.0068325216476794
-0.5022162146180638,-0.001228904231866168,1.0075177243709912
-0.5026974008367802,-0.0012000136722167265,1.0078847238386137
-0.5007163945883886,-0.0010876151216475394,1.0072011640503953
-0.5018078213722104,-0.0011616926056454147,1.0070364431263052
-0.5021337324454213,-0.0012162858163760615,1.0072667359719918
-0.5031769336575657,-0.0012305871754662023,1.0082240106946974
-0.5052337041679641,-0.0012609368791861586,1.0111220338207552
-0.502756753585596,-0.001193736982833704,1.00955039229952
-0.5060993404378206,-0.0012446755902597584,1.011138297868927
-0.5027318637716119,-0.0011844592838554102,1.010315790768456
-0.5016888995949556,-0.0010889008259628574,1.009328052814995
-0.5059747058318054,-0.0012560427272876318,1.0121654489535863
-0.5056316935756612,-0.0012033806807958403,1.0123391340577497
-0.5081305770522426,-0.0012770869639145976,1.0158050779950913
-0.5072706459074419,-0.0011943993741151404,1.0159436717294161
-0.5100074988485056,-0.0012672523320588769,1.0180307083241313
-0.50673934811419,-0.0011377044427667848,1.015949317885192
-0.5017999034295068,-0.0011573747805059265,1.0145307691379262
-0.5072974210366751,-0.0012440611164627469,1.016079198549069
