Energy,Variance,Alpha
1.3539101013190125,3.3515631528538323,0.15000000000000002
0.9371869588404249,1.273641231657837,0.2
0.7405932150314919,0.6137285935682979,0.25
0.6339211158719846,0.3140911239225117,0.3
0.5755237240980577,0.16333707850265672,0.35
0.538404260176163,0.0767669764853538,0.39999999999999997
0.5144917898080005,0.027276724025901422,0.44999999999999996
0.5042016032933914,0.006429474132454482,0.49999999999999994
0.5000000000000003,-1.1102230246251565e-16,0.5499999999999999
0.5008561403418197,0.005101215074589716,0.6
0.5036758351710101,0.01974861060711003,0.65
0.5124002568191103,0.040121074270376866,0.7000000000000001
0.5239227084946049,0.06493216694232717,0.7500000000000001
0.537291748160007,0.09184736204072336,0.8000000000000002
0.5498816185494815,0.13224185061619986,0.8500000000000002
0.5664023871767769,0.16493577759521327,0.9000000000000002
0.5756203258847439,0.22531097201741018,0.9500000000000003
0.5998344368350614,0.262636822297523,1.0000000000000002
0.624203605417892,0.2975599675368337,1.0500000000000003
0.6293349767077009,0.4060038490429067,1.1000000000000003
